Frequency,600 MHz,,Time,50,,Path,Land,,,
,,,,,,,,,,
,,,,,,,,,,
,,H(m),,,,,,,,Max Field 
 ,km,10,20,37.5,75,150,300,600,1200,dBuV/m
 ,1,92.681,94.868,97.072,99.699,102.345,104.591,106.007,106.629,106.900
,2,81.108,84.291,87.092,90.356,93.803,97.071,99.417,100.484,100.879
,3,73.480,77.690,81.046,84.741,88.624,92.462,95.443,96.866,97.358
,4,67.693,72.675,76.575,80.667,84.877,89.107,92.562,94.285,94.859
,5,63.064,68.556,72.942,77.421,81.920,86.457,90.290,92.275,92.921
,6,59.229,65.047,69.834,74.687,79.459,84.256,88.406,90.626,91.337
,7,55.965,61.992,67.096,72.296,77.333,82.365,86.792,89.227,89.998
,8,53.130,59.293,64.640,70.152,75.447,80.700,85.376,88.010,88.838
,9,50.628,56.879,62.410,68.195,73.739,79.204,84.110,86.933,87.815
,10,48.393,54.701,60.370,66.387,72.167,77.839,82.961,85.965,86.900
,11,46.377,52.719,58.489,64.702,70.703,76.576,81.907,85.085,86.072
,12,44.542,50.904,56.748,63.122,69.327,75.396,80.928,84.279,85.316
,13,42.862,49.230,55.127,61.633,68.022,74.282,80.013,83.533,84.621
,14,41.315,47.680,53.613,60.224,66.780,73.223,79.148,82.838,83.977
,15,39.883,46.237,52.192,58.888,65.590,72.209,78.327,82.187,83.378
,16,38.553,44.890,50.856,57.617,64.447,71.233,77.541,81.574,82.818
,17,37.312,43.626,49.594,56.404,63.345,70.289,76.786,80.993,82.291
,18,36.151,42.437,48.399,55.244,62.280,69.373,76.056,80.441,81.795
,19,35.062,41.315,47.265,54.133,61.250,68.480,75.346,79.914,81.325
,20,34.038,40.254,46.185,53.066,60.250,67.607,74.655,79.408,80.879
,25,29.704,35.679,41.448,48.276,55.634,63.479,71.375,77.129,78.941
,30,26.339,31.999,37.521,44.162,51.501,59.617,68.237,75.108,77.358
,35,23.638,28.930,34.148,40.517,47.713,55.935,65.125,73.200,76.019
,40,21.411,26.304,31.182,37.224,44.194,52.395,61.999,71.296,74.859
,45,19.531,24.013,28.535,34.219,40.906,48.992,58.862,69.318,73.836
,50,17.910,21.986,26.151,31.464,37.834,45.734,55.739,67.213,72.921
,55,16.485,20.173,23.991,28.936,34.972,42.632,52.661,64.966,72.093
,60,15.211,18.536,22.027,26.616,32.314,39.698,49.656,62.591,71.337
,65,14.051,17.044,20.233,24.486,29.852,36.938,46.748,60.122,70.642
,70,12.982,15.675,18.588,22.530,27.578,34.354,43.955,57.601,69.998
,75,11.982,14.407,17.071,20.730,25.477,31.941,41.287,55.065,69.399
,80,11.037,13.223,15.666,19.068,23.536,29.694,38.752,52.542,68.838
,85,10.136,12.111,14.357,17.527,21.739,27.602,36.351,50.056,68.312
,90,9.269,11.059,13.129,16.093,20.070,25.654,34.083,47.624,67.815
,95,8.429,10.056,11.972,14.751,18.515,23.837,31.944,45.257,67.346
,100,7.612,9.095,10.874,13.489,17.061,22.138,29.928,42.964,66.900
,110,6.030,7.273,8.825,11.164,14.407,19.050,26.235,38.617,66.072
,120,4.498,5.556,6.929,9.049,12.026,16.304,22.941,34.601,65.316
